codMuni;CCAA;Nombre;CodProv;NombreProvincia;NombreCCAA;NHOSPI;NFARMA;NCENTEDUC;NATURGHOSP;NATPRIMARIA;DISTHOSPIT;DISTFARMA;DISTCEDUC;DISTCURGH;DISTATPRIM
9032;7;Avellanosa de Muñó;9;Burgos;Castilla y León;0;0;0;0;4;37705.51177;8800.781131;9461.161854;9832.090602;1508.202524
9033;7;Bahabón de Esgueva;9;Burgos;Castilla y León;0;0;0;0;1;22016.96573;10562.82843;11079.30901;17694.64105;1759.281291
9034;7;Los Balbases;9;Burgos;Castilla y León;0;1;0;0;1;32686.27024;4147.250308;9748.15544;7819.649919;2547.9982
9035;7;Baños de Valdearados;9;Burgos;Castilla y León;0;0;2;0;1;15891.42362;10527.92786;2511.878761;15091.88859;2318.257102
9036;7;Bañuelos de Bureba;9;Burgos;Castilla y León;0;0;0;0;1;29708.27047;4009.382346;6065.404576;6885.60133;1638.342368
9037;7;Barbadillo de Herreros;9;Burgos;Castilla y León;0;0;0;0;1;45785.8602;13771.85447;20064.84546;11785.48623;5392.297939
9038;7;Barbadillo del Mercado;9;Burgos;Castilla y León;0;1;0;0;1;42604.07853;11190.77527;6942.128503;7146.993867;1664.483101
9039;7;Barbadillo del Pez;9;Burgos;Castilla y León;0;0;0;0;1;44676.06997;6012.386414;11823.07978;12375.13389;1845.588599
9041;7;Barrio de Muñó;9;Burgos;Castilla y León;0;0;0;0;0;29697.51731;13472.13977;16306.90381;3070.704856;1344.751784
9043;7;Los Barrios de Bureba;9;Burgos;Castilla y León;0;0;0;0;5;31195.7245;14873.1846;10978.82026;9602.686003;1269.223166
9044;7;Barrios de Colina;9;Burgos;Castilla y León;0;0;0;0;3;20202.69364;7033.644903;9547.265479;18815.16391;1304.960866
9045;7;Basconcillos del Tozo;9;Burgos;Castilla y León;0;0;0;0;8;41902.85741;5856.191295;13638.19375;9820.199279;1892.512603
9046;7;Bascuñana;9;Burgos;Castilla y León;0;0;0;0;2;27294.0048;9146.919419;7716.35232;7751.949883;1282.85578
9047;7;Belbimbre;9;Burgos;Castilla y León;0;0;0;0;1;32098.91127;17564.23117;17422.98262;5705.128602;1699.855585
9048;7;Belorado;9;Burgos;Castilla y León;0;1;4;1;4;31516.31772;25129.37375;5383.842828;5406.579652;2490.529814
9050;7;Berberana;9;Burgos;Castilla y León;0;0;0;0;1;27250.24162;17394.20543;9745.172878;12013.13216;3076.753808
9051;7;Berlangas de Roa;9;Burgos;Castilla y León;0;1;0;0;1;13936.78004;23449.9306;9043.960888;6500.82968;1909.856674
9052;7;Berzosa de Bureba;9;Burgos;Castilla y León;0;0;0;0;1;23593.88084;7203.002286;9242.352502;9337.366806;1065.427668
9054;7;Bozoó;9;Burgos;Castilla y León;0;0;0;0;2;11994.85079;3835.960952;12426.83455;8335.706768;2133.616167
9055;7;Brazacorta;9;Burgos;Castilla y León;0;0;0;0;1;25067.45734;18449.84408;10172.03863;9832.870811;2204.637606
9056;7;Briviesca;9;Burgos;Castilla y León;0;3;14;1;1;29326.26306;13166.74635;3860.040662;4204.845462;2515.051661
9057;7;Bugedo;9;Burgos;Castilla y León;0;0;0;0;1;3421.830465;10226.22395;5079.042325;7705.74291;1340.54028
9058;7;Buniel;9;Burgos;Castilla y León;0;1;0;0;1;8435.055354;23930.13688;7002.543734;8919.859721;1594.796537
9059;7;Burgos;9;Burgos;Castilla y León;5;87;186;2;16;3310.748069;11420.95874;1962.280764;3579.290376;1393.119338
